runs_left,balls_left,wickets_left,total_runs_x,cur_run_rate,req_run_rate,result
16,5,5,164,7.721739130434782,19.2,0
12,4,5,164,7.862068965517241,18.0,0
8,3,5,164,8.0,16.0,0
2,2,5,164,8.23728813559322,6.0,0
2,1,4,164,8.168067226890756,12.0,0
1,119,4,164,978.0,0.0504201680672268,1
1,118,4,164,489.0,0.0508474576271186,1
157,119,10,158,6.0,7.915966386554622,1
153,118,10,158,15.0,7.779661016949152,1
153,117,10,158,10.0,7.846153846153846,1
149,116,10,158,13.5,7.706896551724138,1
149,115,10,158,10.8,7.773913043478261,1
148,114,10,158,10.0,7.7894736842105265,1
144,113,10,158,12.0,7.646017699115045,1
144,112,10,158,10.5,7.714285714285714,1
143,111,10,158,10.0,7.72972972972973,1
139,110,10,158,11.4,7.581818181818182,1
139,109,10,158,10.363636363636363,7.651376146788991,1
139,108,10,158,9.5,7.722222222222222,1
139,107,10,158,8.76923076923077,7.794392523364486,1
138,106,10,158,8.571428571428571,7.811320754716981,1
138,105,10,158,8.0,7.885714285714286,1
137,104,10,158,7.875,7.903846153846154,1
136,103,10,158,7.764705882352941,7.922330097087379,1
136,102,10,158,7.333333333333333,8.0,1
132,101,10,158,8.210526315789474,7.841584158415841,1
132,101,10,158,8.210526315789474,7.841584158415841,1
132,100,9,158,7.8,7.92,1
132,99,9,158,7.428571428571429,8.0,1
132,98,9,158,7.090909090909091,8.081632653061224,1
132,97,9,158,6.782608695652174,8.164948453608247,1
128,96,9,158,7.5,8.0,1
128,95,9,158,7.2,8.08421052631579,1
128,94,9,158,6.923076923076923,8.170212765957446,1
127,93,9,158,6.888888888888889,8.193548387096774,1
127,92,9,158,6.642857142857143,8.282608695652174,1
126,91,9,158,6.620689655172414,8.307692307692308,1
126,90,9,158,6.4,8.4,1
126,89,9,158,6.193548387096774,8.49438202247191,1
125,89,9,158,6.387096774193548,8.426966292134832,1
121,88,9,158,6.9375,8.25,1
117,87,9,158,7.454545454545454,8.068965517241379,1
117,86,9,158,7.235294117647059,8.162790697674419,1
117,85,8,158,7.0285714285714285,8.258823529411766,1
117,84,8,158,6.833333333333333,8.357142857142858,1
116,83,8,158,6.8108108108108105,8.385542168674698,1
115,82,8,158,6.789473684210527,8.414634146341463,1
115,81,8,158,6.615384615384615,8.518518518518519,1
115,80,8,158,6.45,8.625,1
114,79,8,158,6.439024390243903,8.658227848101266,1
113,78,8,158,6.428571428571429,8.692307692307692,1
113,77,8,158,6.27906976744186,8.805194805194805,1
112,76,8,158,6.2727272727272725,8.842105263157896,1
111,75,8,158,6.266666666666667,8.88,1
105,74,8,158,6.913043478260869,8.513513513513514,1
105,73,8,158,6.76595744680851,8.63013698630137,1
105,72,8,158,6.625,8.75,1
104,71,8,158,6.612244897959184,8.788732394366198,1
104,70,8,158,6.48,8.914285714285715,1
103,69,8,158,6.470588235294118,8.956521739130435,1
103,68,7,158,6.346153846153846,9.088235294117649,1
103,67,7,158,6.226415094339623,9.223880597014926,1
103,66,7,158,6.111111111111111,9.363636363636363,1
102,65,7,158,6.109090909090909,9.415384615384616,1
100,64,7,158,6.214285714285714,9.375,1
99,63,7,158,6.2105263157894735,9.428571428571429,1
98,62,7,158,6.206896551724138,9.483870967741936,1
98,61,7,158,6.101694915254237,9.63934426229508,1
97,60,7,158,6.1,9.7,1
96,59,7,158,6.098360655737705,9.76271186440678,1
95,58,7,158,6.096774193548387,9.827586206896552,1
94,57,7,158,6.095238095238095,9.894736842105264,1
94,56,7,158,6.0,10.071428571428571,1
93,55,7,158,6.0,10.145454545454545,1
92,54,7,158,6.0,10.22222222222222,1
92,53,7,158,5.91044776119403,10.41509433962264,1
88,52,7,158,6.176470588235294,10.153846153846152,1
87,51,7,158,6.173913043478261,10.235294117647058,1
86,50,7,158,6.171428571428572,10.32,1
85,49,7,158,6.169014084507042,10.408163265306122,1
84,48,7,158,6.166666666666667,10.5,1
82,47,7,158,6.2465753424657535,10.46808510638298,1
76,46,7,158,6.648648648648648,9.91304347826087,1
